"Deutsch"
"hallo"
"auf Wiedersehen"
"bitte"
"danke"
"ja"
"nein"
"Entschuldigung"
"Es tut mir leid"
"wer"
"was"
"wo"
"wann"
"warum"
"wie"
"sein"
"haben"
"gehen"
"tun / machen"
"wollen"
"mögen"
"sehen"
"hören"
"sprechen"
"essen"
"trinken"
"schlafen"
"arbeiten"
"leben / wohnen"
"wissen / kennen"
"kommen"
"heute"
"morgen"
"gestern"
"Zeit"
"Tag"
"Woche"
"Monat"
"Jahr"
"Montag"
"Dienstag"
"Mittwoch"
"Donnerstag"
"Freitag"
"Samstag"
"Sonntag"
"eins"
"zwei"
"drei"
"vier"
"fünf"
"sechs"
"sieben"
"acht"
"neun"
"zehn"
"Freund"
"Familie"
"Mutter"
"Vater"
"Kind"
"Mann"
"Frau"
"Menschen / Leute"
"Haus"
"Schule"
"Zimmer"
"Stadt"
"Straße"
"Geschäft / Laden"
"Auto"
"Zug"
"Essen"
"Wasser"
"Brot"
"Kaffee"
"Tee"
"Milch"
"Obst / Frucht"
"Gemüse"
"gut"
"schlecht"
"groß"
"klein"
"neu"
"alt"
"glücklich"
"traurig"
"schön"
"einfach"
"schwierig"
"heiß"
"kalt"
"rot"
"blau"
"grün"
"gelb"
"schwarz"
"weiß"
"Hilfe"
"Geld"
"Buch"
"Name"
"immer"
"nie"
"manchmal"
"oft"
"jetzt"
"später"
"hier"
"dort"
"überall"
"nichts"
"alles"
"jemand"
"niemand"
"kaufen"
"verkaufen"
"bezahlen"
"denken"
"finden"
"geben"
"nehmen"
"bringen"
"lesen"
"schreiben"
"verstehen"
"lernen"
"reisen"
"fahren"
"fliegen"
"warten"
"öffnen"
"schließen"
"helfen"
"benutzen"
"anrufen / rufen"
"treffen"
"fragen"
"antworten"
"links"
"rechts"
"geradeaus"
"nah"
"weit"
"früh"
"spät"
"schnell"
"langsam"
"schwer"
"leicht"
"teuer"
"billig"
"jung"
"sauber"
"schmutzig"
"beschäftigt"
"müde"
"krank"
"gesund"
"bereit"
"wichtig"
"unterschiedlich"
"gleich"
"frei / kostenlos"
"alle"
"einige"
"viele"
"wenige"
"mehr"
"weniger"
"Fleisch"
"Fisch"
"Zucker"
"Salz"
"Apfel"
"Banane"
"Bier"
"Wein"
"Frühstück"
"Mittagessen"
"Abendessen"
"Restaurant"
"Hotel"
"Flughafen"
"Bahnhof"
"Fahrkarte / Ticket"
"Reisepass"
"Tasche"
"Schlüssel"
"Telefon"
"Computer"
"Internet"
"E-Mail"
"Arzt"
"Krankenhaus"
"Medizin"
"Wetter"
"Sonne"
"Regen"
"Schnee"
"Wind"
"Meer"
"Fluss"
"Tier"
"Hund"
"Katze"
"Vogel"
"Hemd / Shirt"
"Hose"
"Schufe"
"Mantel"
"Fenster"
"Tür"
"Tisch"
"Stuhl"
"Bett"
"Papier"
"Stift"
"Beruf / Arbeit"
"Büro"
"Chef"
"Kollege"
"Firma / Unternehmen"
"Land"
"Welt"
"Frage"
"Antwort"
"Problem"
"Lösung"
"Nummer / Zahl"
